                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9453,                 4.8938,                 3.7134,                0.00044,                0.00739,                0.00045,                  8e-05,                 4.0134,                 4.4245,                 3.5247,               0.067033,               0.000333,               0.000333
                      1,                  3.798,                 4.5357,                 3.3496,                0.00161,                0.05252,                0.00146,                0.00048,                  3.612,                  4.048,                  3.248,               0.034019,             0.00065314,             0.00065314
                      2,                 3.1778,                 4.0572,                 2.9312,                0.42873,                  0.021,                0.01209,                0.00475,                 2.7859,                 3.4738,                 2.6518,             0.00099302,             0.00096008,             0.00096008
                      3,                 2.5642,                  3.495,                 2.4008,                0.27769,                0.06972,                0.04693,                0.02311,                 2.4155,                 3.0901,                 2.2995,              0.0009406,              0.0009406,              0.0009406
                      4,                 2.3211,                 3.2397,                 2.1615,                0.23968,                0.10089,                 0.0592,                0.03213,                 2.2934,                 2.9261,                 2.1592,              0.0009406,              0.0009406,              0.0009406
                      5,                 2.2223,                 3.0992,                 2.0551,                0.25942,                0.10708,                0.07269,                0.03849,                 2.2207,                 2.8415,                 2.0743,              0.0009208,              0.0009208,              0.0009208
                      6,                 2.1629,                 2.9981,                 1.9818,                0.35776,                0.10509,                0.08734,                0.04887,                 2.1321,                 2.7149,                 1.9951,               0.000901,               0.000901,               0.000901
                      7,                  2.108,                  2.922,                 1.9281,                 0.3875,                 0.1324,                0.09366,                0.05316,                 2.1232,                 2.6279,                 1.9751,              0.0008812,              0.0008812,              0.0008812
                      8,                 2.0833,                 2.8611,                 1.8976,                0.28102,                0.12363,                0.10351,                0.06057,                 2.0966,                 2.5972,                 1.9477,              0.0008614,              0.0008614,              0.0008614
                      9,                 2.0637,                 2.7892,                  1.874,                0.27736,                0.13725,                 0.1109,                0.06336,                 2.0497,                 2.5305,                 1.9034,              0.0008416,              0.0008416,              0.0008416
                     10,                 2.0357,                 2.7375,                 1.8458,                0.37202,                0.14284,                0.11627,                0.06792,                 2.0296,                 2.5199,                 1.8889,              0.0008218,              0.0008218,              0.0008218
